,X,Y,Z
380,0.001387836,5.43731E-05,0.006544757
381,0.001546059,6.27826E-05,0.007327957
382,0.001743272,8.17931E-05,0.008167101
383,0.001883977,4.42955E-05,0.008949737
384,0.00208119,6.33059E-05,0.009788881
385,0.002239412,7.17154E-05,0.010572082
386,0.002560943,9.73333E-05,0.012026598
387,0.00289886,7.88462E-05,0.013648377
388,0.003310804,0.00010927,0.015550437
389,0.003750436,9.61885E-05,0.017675702
390,0.004264094,0.000132018,0.020081248
391,0.004777751,0.000167847,0.022486794
392,0.005341701,0.000161374,0.025227432
393,0.006029969,0.000215012,0.028360235
394,0.006774744,0.00021815,0.03199596
395,0.007660224,0.000237294,0.036191114
396,0.008760435,0.000267851,0.041449183
397,0.010001351,0.000314416,0.047266682
398,0.011321378,0.00031168,0.053698987
399,0.012777024,0.000369657,0.060579401
400,0.014305565,0.000386533,0.067906794
401,0.015625592,0.000437302,0.074115893
402,0.017047333,0.000439972,0.081051685
403,0.018779304,0.000521165,0.089162843
404,0.020787598,0.000572068,0.098727952
405,0.023168845,0.000642793,0.110139178
406,0.026243445,0.000722451,0.124794528
407,0.029820402,0.000837338,0.14179948
408,0.033843206,0.000930946,0.161097527
409,0.038413573,0.001062185,0.182968948
410,0.043502684,0.001184548,0.207357236
411,0.048958531,0.001334932,0.233423811
412,0.055013363,0.001517152,0.262455362
413,0.061767765,0.001700106,0.294898865
414,0.06929576,0.001932705,0.331034601
415,0.077631255,0.002163247,0.371253604
416,0.087123469,0.00242735,0.417010392
417,0.0975475,0.002749507,0.467242614
418,0.108870573,0.00311092,0.522062155
419,0.121148066,0.003531588,0.581469015
420,0.134347205,0.003992714,0.645575081
421,0.149647311,0.004529059,0.720030022
422,0.165637945,0.005138552,0.797953989
423,0.182020179,0.005796778,0.878004352
424,0.198473613,0.006514626,0.958783103
425,0.214787473,0.007252975,1.039058933
426,0.22995422,0.008059088,1.114134331
427,0.244531589,0.008881184,1.186805314
428,0.258445554,0.009723859,1.256568396
429,0.271596661,0.01065472,1.323033106
430,0.283880935,0.011595347,1.385582941
431,0.294786979,0.012582926,1.441925373
432,0.304680399,0.013555464,1.493905386
433,0.313629006,0.014623575,1.541412227
434,0.321559904,0.015721352,1.584445329
435,0.328510953,0.016822888,1.623004128
436,0.33431376,0.018009185,1.656082781
437,0.339142933,0.019191042,1.68485496
438,0.343066284,0.020425569,1.709433114
439,0.346123932,0.021706369,1.730152903
440,0.348309661,0.022988136,1.747069703
441,0.349594653,0.024277867,1.7599038
442,0.350148432,0.025584572,1.769494337
443,0.350023549,0.026938962,1.776289424
444,0.349320589,0.028363442,1.780512832
445,0.348073458,0.029806308,1.782555597
446,0.346441507,0.031312478,1.783257426
447,0.344384616,0.032888348,1.782282663
448,0.341970594,0.034537521,1.779966965
449,0.339233346,0.036261801,1.776478161
450,0.336211863,0.038018282,1.772095401
451,0.333302832,0.039864498,1.768833194
452,0.330127082,0.041788822,1.764677595
453,0.326654665,0.043761745,1.759292383
454,0.322859023,0.045863279,1.752510858
455,0.318659914,0.047999206,1.744108118
456,0.313968054,0.050254734,1.733469922
457,0.308848995,0.052560451,1.720818911
458,0.303314036,0.054970462,1.705987822
459,0.297284067,0.057427059,1.688808259
460,0.290825768,0.060004346,1.669112961
461,0.283971913,0.062614114,1.647236454
462,0.276576711,0.065285062,1.622507988
463,0.268671807,0.068052986,1.594535963
464,0.260157746,0.070931989,1.563153115
465,0.25107126,0.073913163,1.528079165
466,0.240631407,0.077025562,1.484951129
467,0.229699369,0.080280844,1.438580099
468,0.218394379,0.083676817,1.389693333
469,0.206931166,0.087278399,1.33913054
470,0.195393927,0.090991584,1.287617847
471,0.184400296,0.094930624,1.238177302
472,0.173532112,0.099073292,1.188739018
473,0.16284984,0.103394884,1.139414315
474,0.152332006,0.1078772,1.090371022
475,0.142080325,0.112579153,1.041889418
476,0.132190295,0.117514346,0.994305162
477,0.122566417,0.12261567,0.947505801
